Taxon ID,Number of Nodes,Number of Edges,Average Node Degree,Graph Density,Graph Diameter
5286,6191,2073853,328566.8764239227,0.1082322063738884,6
301,4555,482508,18013.095146818603,0.04652143542039977,7
1855657,4708,698333,34876.9328325425,0.06302486273358845,6
98765,9770,4930845,771563.9719258891,0.10332529957892203,7
1463820,7523,1413839,48137.17247066203,0.04996956422178933,6
537021,1053,52267,6358.722771351264,0.09436554620331553,6
1552123,3083,308775,15805.260517239902,0.06499290766407986,5
1462747,1684,148682,20645.715013626857,0.10492094340075338,5
,,,,,
1280953,4104,455647,18337.092916751037,0.05411898487247718,5
1212491,3490,343593,24482.89923623263,0.05643491907846272,6
1798318,4735,908652,87443.23854356719,0.08107357902950148,5
426428,14475,2913774,101002.54424641254,0.027814977866333128,7
574934,6527,1320894,67588.78657264206,0.062020788162948495,6
1577905,3908,442248,18275.648107430825,0.057929250153059664,5
1463934,7566,1426394,54275.04508519097,0.049841858706611605,6
1392255,10096,5228125,772592.084611905,0.10259360559628065,6
177199,8362,3489319,549821.5727223781,0.09981648775860841,5
74557,9874,4852871,671306.5289005485,0.09956036559997608,6
1754192,8757,4035829,564089.8052995639,0.10526927932300117,8
1040989,7661,1396351,51008.02896103693,0.04758941476666429,6
1314783,9439,4684901,754547.711069009,0.10517789010310367,6
1615890,7364,1470060,62878.564583920124,0.054224614860493875,6
1328760,6965,2971633,603584.5091615166,0.12253080451077905,6
1915,8552,1858399,65926.09126833983,0.0508258160277317,5
231916,10422,6240962,979893.867544491,0.11492673509535635,6
660122,14104,2965444,113782.5611739378,0.029817135410338386,8
914237,9494,4184727,600342.1498752985,0.09286336537798155,7
1209931,11987,6214461,807349.1372400499,0.08650648859808928,7
1160497,9556,4970434,784002.1183144763,0.10887231925323176,6
1073090,8743,4143591,678014.177735214,0.10842653925081432,6
70667,10872,5438861,848455.8183888736,0.09203627137406237,10
1077348,11521,6969388,1085850.4470588248,0.10502241076681229,6
936435,9125,4212174,617056.6338780655,0.10118546900242023,7
10089,18705,5124774,181228.78532960822,0.029296281992093255,6
7897,19304,4911511,150284.89547925672,0.026361674733290655,6
9597,19988,6880259,256273.7423631648,0.034444336987943504,6
6290,14117,7908947,1142029.5173717614,0.07937698455082091,7
53326,18101,10042331,1161441.8586433115,0.06130323375803236,8
9646,19123,6185917,242523.10790467812,0.03383333004348188,5
307972,23685,19788629,2389952.364003381,0.07055328841212621,8
